cau_hoi,tra_loi
Đèn có phải hàng chính hãng không?,"Dạ 100% hàng chính hãng ạ. An Lạc Phát là đại lý cấp 1 của Panasonic, Philips, Megaman, Nanoco… hơn 15 năm trong ngành, anh/chị có thể xem thêm tại anlacphat.com."
Bảo hành bao lâu?,"Dạ sản phẩm bảo hành theo chính sách nhà sản xuất: đèn LED 2 năm, thiết bị điện 1 năm ạ."
Shop ở đâu? Có ghé xem hàng được không?,"Dạ shop ở 107 Hồ Sỹ Dương, Cẩm Lệ, Đà Nẵng, mở cửa 08:00 – 17:30 ạ. Anh/chị ghé trước nên gọi hotline để em chuẩn bị mẫu sẵn nhé."
Giao hàng mất bao lâu? Phí ship bao nhiêu?,"Dạ nội thành Đà Nẵng giao trong ngày, ngoài Đà Nẵng khoảng 3–4 ngày ạ. Phí ship tùy hình thức giao anh/chị chọn (nhanh hay tiết kiệm), anh/chị cho em xin địa chỉ để nhân viên báo phí chính xác nhé."
Thanh toán thế nào?,"Dạ anh/chị có thể thanh toán tiền mặt khi nhận hàng (COD) hoặc chuyển khoản đều được ạ."
Có xuất hóa đơn VAT không?,"Dạ shop có xuất hóa đơn VAT ạ. Anh/chị gửi giúp em thông tin công ty (tên, MST, địa chỉ) khi đặt hàng nhé."
Đèn đổi màu dùng thế nào?,"Dạ đèn đổi 3 màu (trắng / trung tính / vàng) đổi màu bằng cách tắt – bật công tắc liên tiếp, không cần điều khiển riêng ạ."
Phòng bao nhiêu m² thì dùng đèn mấy W?,"Dạ tham khảo chung: đèn LED 9W hợp phòng khoảng 10–15m², phòng rộng hơn nên chọn 12–15W, phòng nhỏ như nhà vệ sinh, kho thì 6–7W là đủ ạ. Anh/chị cho em xin diện tích phòng để em tư vấn số lượng đèn cụ thể nhé."
Panasonic với Megaman/Nanoco khác nhau thế nào?,"Dạ đều là hàng chính hãng ạ. Panasonic (Nhật) thương hiệu lâu đời, giá nhỉnh hơn; Megaman tầm trung, nhiều mẫu mã; Nanoco (Việt Nam) giá tốt, tiết kiệm chi phí. Anh/chị ưu tiên thương hiệu hay ngân sách để em gợi ý mẫu phù hợp ạ?"
Shop mới mở ít đánh giá sao tin được?,"Dạ kênh Shopee/TikTok của shop mới mở, nhưng An Lạc Phát đã hơn 15 năm là đại lý cấp 1 chính hãng tại Đà Nẵng ạ. Anh/chị có thể xem thêm tại anlacphat.com hoặc ghé trực tiếp 107 Hồ Sỹ Dương, Cẩm Lệ."
Mua nhiều có giảm giá không?,"Dạ đơn từ 5 sản phẩm trở lên, công trình hoặc đại lý sẽ được nhân viên báo giá riêng ạ. Anh/chị cho em xin sản phẩm, số lượng và số điện thoại nhé. [[NHAN_VIEN]]"
